Date,Open,High,Low,Close,Volume,Adj Close
2016-12-27,112.059998,119.93,102.800003,106.739998,42758800,106.739998
2016-12-19,99.699997,109.839996,99.00,109.779999,17649900,109.779999
2016-12-12,89.849998,100.699997,87.540001,100.410004,18933200,100.410004
2016-12-05,89.989998,96.620003,89.00,91.82,11705100,91.82
2016-11-28,93.870003,94.739998,84.769997,88.449997,13366000,88.449997
2016-11-21,94.089996,95.25,92.379997,94.160004,8785000,94.160004
2016-11-14,88.089996,94.790001,83.620003,93.360001,21859600,93.220436
2016-11-07,69.550003,88.769997,66.760002,87.970001,22093100,87.838493
2016-10-31,70.790001,71.809998,66.580002,67.57,8299500,67.468987
2016-10-24,68.00,72.949997,67.989998,70.559998,8753000,70.454514
2016-10-17,65.980003,67.949997,65.519997,67.540001,6276700,67.439034
2016-10-10,67.199997,67.559998,63.700001,65.989998,9085400,65.89135
2016-10-03,68.519997,69.699997,66.260002,66.849998,7380600,66.750061
2016-09-26,64.209999,69.190002,63.529999,68.519997,8595900,68.417564
2016-09-19,63.50,65.440002,62.740002,64.949997,8346500,64.852898
2016-09-12,58.73,63.25,57.32,62.84,14033600,62.746059
2016-09-06,62.75,63.23,59.00,59.52,10739800,59.431023
2016-08-29,62.279999,63.380001,61.16,62.529999,8501900,62.43652
2016-08-22,62.450001,63.32,60.759998,62.029999,7945000,61.937267
2016-08-15,63.110001,63.50,60.66,62.259998,10397000,62.052574
2016-08-08,59.00,63.380001,58.119999,63.040001,15799700,62.829975
2016-08-01,57.34,58.23,55.50,58.200001,7639900,58.0061
2016-07-25,55.00,57.25,54.759998,57.099998,9526000,56.909763
2016-07-18,53.349998,54.669998,52.77,54.669998,8045900,54.487858
2016-07-11,51.580002,53.799999,51.52,52.700001,9778200,52.524426
2016-07-05,46.400002,51.09,46.029999,50.849998,9509500,50.680588
2016-06-27,45.349998,47.360001,44.57,46.66,8996800,46.504547
2016-06-20,47.470001,48.540001,45.299999,45.73,10122300,45.577644
2016-06-13,46.25,47.77,46.16,46.720001,8962100,46.56435
2016-06-06,46.599998,47.450001,45.799999,46.200001,8113600,46.046082
2016-05-31,46.099998,47.540001,45.66,46.48,9937100,46.325146
2016-05-23,44.52,45.98,44.130001,45.900002,9373600,45.747082
2016-05-16,40.669998,44.509998,40.540001,44.330002,14662300,44.067875
2016-05-09,35.419998,41.00,34.93,40.98,18559900,40.737682
2016-05-02,35.869999,36.220001,34.400002,35.330002,7178900,35.121094
2016-04-25,36.279999,37.330002,35.139999,35.529999,7310100,35.319908
2016-04-18,37.060001,37.18,36.080002,36.27,6091800,36.055534
2016-04-11,35.869999,37.459999,35.139999,37.130001,9422700,36.91045
2016-04-04,36.450001,36.639999,34.630001,35.66,9104600,35.449139
2016-03-28,34.419998,36.25,34.380001,36.150002,8160300,35.936245
2016-03-21,33.509998,34.68,33.150002,34.48,7835900,34.276115
2016-03-14,32.07,34.25,31.57,33.810001,8396800,33.610081
2016-03-07,32.369999,32.59,31.040001,32.220001,6505900,32.02948
2016-02-29,31.610001,33.060001,31.34,32.549999,6915800,32.357529
2016-02-22,30.879999,32.119999,30.60,31.68,9337400,31.378353
2016-02-16,26.10,30.98,26.02,30.440001,17819400,30.150162
2016-02-08,26.030001,26.549999,24.75,25.73,10254900,25.485006
2016-02-01,29.26,29.450001,26.35,26.43,9535600,26.178343
2016-01-25,28.440001,29.35,27.50,29.290001,6588200,29.011112
2016-01-19,27.67,28.639999,26.450001,28.450001,10486000,28.17911
2016-01-11,29.66,30.620001,26.639999,27.110001,13999400,26.851868
2016-01-04,32.290001,33.439999,29.57,29.629999,11707300,29.347872
