Date,Open,High,Low,Close,Volume,Adj Close
2016-12-27,808.679993,816.00,789.619995,792.450012,1239700,792.450012
2016-12-19,809.280029,816.48999,804.50,807.799988,1176000,807.799988
2016-12-12,804.820007,824.299988,804.530029,809.840027,1971500,809.840027
2016-12-05,770.00,809.950012,766.969971,809.450012,1786600,809.450012
2016-11-28,778.349976,799.73999,753.359985,764.460022,2188200,764.460022
2016-11-21,778.099976,793.77002,772.650024,780.22998,1235000,780.22998
2016-11-14,771.76001,791.289978,743.590027,775.969971,2345300,775.969971
2016-11-07,794.950012,816.039978,765.539978,771.75,3267600,771.75
2016-10-31,822.429993,822.630005,771.00,781.099976,2219000,781.099976
2016-10-24,830.090027,839.00,814.609985,819.559998,2492300,819.559998
2016-10-17,805.98999,829.799988,803.830017,824.059998,1571100,824.059998
2016-10-10,803.929993,819.859985,798.619995,804.599976,1321300,804.599976
2016-10-03,802.549988,808.50,796.22998,800.710022,1244900,800.710022
2016-09-26,809.820007,813.909973,800.450012,804.059998,1464100,804.059998
2016-09-19,801.109985,819.059998,793.559998,814.960022,1343600,814.960022
2016-09-12,784.52002,803.650024,783.50,797.969971,1730500,797.969971
2016-09-06,798.390015,810.890015,788.049988,788.47998,1550000,788.47998
2016-08-29,793.049988,798.52002,786.330017,796.869995,1133100,796.869995
2016-08-22,798.51001,801.00,787.22998,793.219971,1101100,793.219971
2016-08-15,807.210022,811.359985,796.299988,799.650024,1007800,799.650024
2016-08-08,806.00,813.880005,801.690002,807.049988,1185400,807.049988
2016-08-01,786.669983,807.48999,785.039978,806.929993,1873900,806.929993
2016-07-25,757.679993,803.940002,752.75,791.340027,2527000,791.340027
2016-07-18,737.909973,760.640015,736.51001,759.280029,1316100,759.280029
2016-07-11,719.419983,741.00,718.869995,735.630005,1294700,735.630005
2016-07-05,705.01001,717.900024,699.00,717.780029,1355700,717.780029
2016-06-27,682.48999,712.530029,672.659973,710.25,2127500,710.25
2016-06-20,710.309998,715.869995,684.909973,685.200012,2429600,685.200012
2016-06-13,729.820007,739.00,701.119995,704.25,2004300,704.25
2016-06-06,738.50,743.929993,728.289978,733.190002,1348500,733.190002
2016-05-31,748.76001,753.47998,733.909973,735.859985,1522400,735.859985
2016-05-23,719.97998,747.909973,716.940002,747.599976,1568900,747.599976
2016-05-16,724.320007,735.849976,710.309998,721.710022,1538700,721.710022
2016-05-09,726.700012,740.799988,723.50,724.830017,1528800,724.830017
2016-05-02,711.919983,725.98999,704.049988,725.179993,1755800,725.179993
2016-04-25,735.349976,745.590027,703.200012,707.880005,2924300,707.880005
2016-04-18,780.190002,790.950012,730.369995,737.77002,3300300,737.77002
2016-04-11,765.450012,780.929993,751.570007,780.00,1532900,780.00
2016-04-04,769.51001,772.440002,755.599976,759.469971,1256400,759.469971
2016-03-28,756.169983,777.309998,748.289978,769.669983,1663600,769.669983
2016-03-21,753.909973,765.390015,750.50,754.840027,1333300,754.840027
2016-03-14,744.969971,765.340027,742.840027,755.409973,1927400,755.409973
2016-03-07,725.150024,744.900024,704.00,744.869995,2337600,744.869995
2016-02-29,721.00,743.119995,716.840027,730.219971,2305200,730.219971
2016-02-22,729.51001,736.159973,702.02002,724.859985,1945600,724.859985
2016-02-16,718.650024,736.00,710.179993,722.109985,2184900,722.109985
2016-02-08,687.679993,723.219971,682.01001,706.890015,3455600,706.890015
2016-02-01,771.26001,810.349976,700.140015,703.76001,5929600,703.76001
2016-01-25,743.840027,765.109985,713.450012,761.349976,2566200,761.349976
2016-01-19,720.150024,748.559998,687.780029,745.460022,2878100,745.460022
2016-01-11,731.950012,753.00,701.51001,710.48999,2805500,710.48999
2016-01-04,762.200012,769.200012,728.919983,730.909973,2714400,730.909973
